date,xsales,antallordre,produkt,sales,invoiced,refunded,sales tax,sales shipping,sales discount,canceled
2023-11-07, 13 715.00,8,18, 13 715.00, 9 684.00, 0.00, 2 516.40, 1 133.00, 0.00,0.0
2023-11-08, 16 238.00,11,23, 16 238.00, 15 880.00, 0.00, 3 087.40, 801.00, 0.00,0.0
2023-11-09, 19 474.00,17,29, 19 474.00, 13 341.00, 0.00, 3 592.20, 1 513.00, 0.00,0.0
2023-11-10, 9 389.00,7,14, 9 389.00, 8 934.00, 2 976.00, 1 753.20, 623.00, 0.00,0.0
2023-11-11, 5 637.00,5,8, 5 637.00, 1 988.00, 0.00, 1 038.40, 445.00, 0.00,0.0
2023-11-12, 4 939.00,5,6, 4 939.00, 0.00, 0.00, 898.80, 445.00, 0.00,0.0
2023-11-13, 20 117.00,12,23, 20 117.00, 3 745.00, 0.00, 3 845.40, 890.00, 0.00,0.0
2023-11-14, 23 207.00,14,34, 23 207.00, 10 691.00, 0.00, 4 481.20, 801.00, 0.00,0.0
2023-11-15, 22 645.00,17,31, 22 645.00, 3 572.00, 3 373.00, 4 279.80, 1 246.00, 0.00,0.0
2023-11-16, 17 634.00,7,11, 17 634.00, 7 174.00, 0.00, 3 233.80, 1 465.00, 0.00,0.0
2023-11-17, 24 182.00,15,18, 24 182.00, 0.00, 0.00, 4 658.40, 890.00, 0.00,0.0
2023-11-18, 13 714.00,8,11, 13 714.00, 2 423.00, 0.00, 2 551.80, 955.00, 0.00,0.0
2023-11-19, 9 429.00,5,8, 9 429.00, 0.00, 0.00, 1 832.40, 267.00, 0.00,0.0
2023-11-20, 27 436.00,20,41, 27 436.00, 3 585.00, 0.00, 5 153.80, 1 667.00, 0.00,0.0
2023-11-21, 33 104.12,16,37, 33 104.12, 0.00, 0.00, 6 531.82, 445.00, 443.88,0.0
2023-11-22, 15 323.20,12,19, 15 323.20, 0.00, 0.00, 2 820.24, 1 222.00, 179.80,0.0
2023-11-23, 15 170.00,7,16, 15 170.00, 1 584.00, 0.00, 2 962.80, 356.00, 0.00,0.0
2023-11-24, 67 662.42,34,53, 67 662.42, 7 134.90, 0.00, 13 375.86, 801.00, 817.63,0.0
2023-11-25, 27 589.13,21,52, 27 589.13, 5 851.00, 0.00, 5 517.83, 0.00, 103.32,0.0
2023-11-26, 44 707.83,33,56, 44 707.83, 4 925.75, 0.00, 8 941.57, 0.00, 298.62,0.0
2023-11-27, 23 454.00,14,31, 23 454.00, 5 420.00, 0.00, 4 601.80, 445.00, 0.00,0.0
2023-11-28, 16 200.00,9,19, 16 200.00, 2 587.00, 0.00, 3 186.60, 267.00, 1 298.00,0.0
2023-11-29, 11 721.00,7,16, 11 721.00, 1 998.00, 0.00, 2 290.80, 267.00, 0.00,0.0
2023-11-30, 25 172.00,14,30, 25 172.00, 7 810.00, 0.00, 4 790.00, 1 222.00, 0.00,0.0
2023-12-01, 21 689.60,12,32, 21 689.60, 2 005.00, 0.00, 4 248.92, 445.00, 1 263.40,0.0
2023-12-02, 12 158.30,8,15, 12 158.30, 0.00, 0.00, 2 362.24, 356.00, 722.70,0.0
2023-12-03, 16 505.20,8,14, 16 505.20, 0.00, 0.00, 3 249.42, 267.00, 947.80,0.0
2023-12-04, 23 541.05,15,38, 23 541.05, 5 500.05, 0.00, 4 475.79, 1 222.00, 1 452.95,0.0
2023-12-05, 15 852.00,13,42, 15 852.00, 1 829.00, 0.00, 3 010.20, 801.00, 0.00,0.0
2023-12-06, 18 878.40,12,16, 18 878.40, 8 055.00, 0.00, 3 534.84, 1 222.00, 197.60,0.0
2023-12-07, 12 416.00,9,29, 12 416.00, 0.00, 0.00, 2 394.20, 445.00, 0.00,0.0
2023-12-08, 27 900.70,18,26, 27 900.70, 5 331.50, 0.00, 5 366.54, 1 068.00, 299.80,0.0
2023-12-09, 15 427.04,10,29, 15 427.04, 3 221.50, 0.00, 2 978.61, 534.00, 568.50,0.0
2023-12-10, 14 816.00,9,20, 14 816.00, 1 088.00, 0.00, 2 892.00, 356.00, 0.00,0.0
